Model,Mean F1-Score,Std F1-Score,Min F1-Score,Max F1-Score
Random Forest,0.7024135413775169,0.028074447567279982,0.6660044642857142,0.7671722764904841
KNN,0.6757086894441674,0.027187238687980293,0.636647367707057,0.7162036766119662
SVM,0.6293045107776638,0.042911637334281535,0.5537086951104978,0.6948475574529156
